index,ds,227645,230054,247467,265812,269255,283639
283,2010-10-13 00:00:00,1536,0,2304,1088,1280,425
284,2010-10-14 00:00:00,1792,0,2304,960,768,858
285,2010-10-15 00:00:00,1472,0,2549,1184,1024,1220
286,2010-10-16 00:00:00,736,0,1024,1700,0,681
287,2010-10-17 00:00:00,0,0,0,0,0,0
288,2010-10-18 00:00:00,992,0,3840,1152,768,997
289,2010-10-19 00:00:00,1024,0,2304,1268,1024,429
290,2010-10-20 00:00:00,1728,0,2560,928,1280,873
291,2010-10-21 00:00:00,768,0,2560,1056,768,499
292,2010-10-22 00:00:00,1536,0,2560,1279,1024,1104
293,2010-10-23 00:00:00,512,0,0,544,768,681
294,2010-10-24 00:00:00,0,0,0,0,0,0
295,2010-10-25 00:00:00,1024,0,2048,1136,256,518
296,2010-10-26 00:00:00,512,0,2816,1172,512,654
297,2010-10-27 00:00:00,1280,0,3008,1216,768,705
298,2010-10-28 00:00:00,1024,0,2496,768,512,425
299,2010-10-29 00:00:00,768,0,3072,832,1008,440
300,2010-10-30 00:00:00,768,0,256,864,256,1041
301,2010-10-31 00:00:00,0,0,0,0,0,0
302,2010-11-01 00:00:00,1024,426,3008,896,768,881
303,2010-11-02 00:00:00,1024,0,2624,1044,960,927
304,2010-11-03 00:00:00,1024,0,4096,1024,944,765
305,2010-11-04 00:00:00,1408,0,2496,1280,1216,425
306,2010-11-05 00:00:00,1472,0,3072,1728,960,1132
307,2010-11-06 00:00:00,768,0,0,1216,0,702
308,2010-11-07 00:00:00,0,0,0,0,0,0
309,2010-11-08 00:00:00,1792,0,2816,1392,704,799
310,2010-11-09 00:00:00,1536,716,2560,1162,752,502
311,2010-11-10 00:00:00,1216,1140,2304,1472,960,686
312,2010-11-11 00:00:00,768,544,2272,1088,960,429
313,2010-11-12 00:00:00,1280,512,3072,1564,1024,1343
314,2010-11-13 00:00:00,976,0,0,1524,768,425
315,2010-11-14 00:00:00,0,0,0,0,0,0
316,2010-11-15 00:00:00,1536,0,3072,1344,1024,425
317,2010-11-16 00:00:00,1024,256,2304,788,960,781
318,2010-11-17 00:00:00,1280,0,2816,1280,1280,0
319,2010-11-18 00:00:00,1264,714,2048,1328,928,510
320,2010-11-19 00:00:00,1424,280,2288,1372,1024,805
321,2010-11-20 00:00:00,768,544,256,1387,0,993
322,2010-11-21 00:00:00,0,0,0,0,0,0
323,2010-11-22 00:00:00,1216,0,3008,384,768,1020
324,2010-11-23 00:00:00,896,476,2464,788,1024,781
325,2010-11-24 00:00:00,1024,716,2272,1408,1024,512
326,2010-11-25 00:00:00,704,1018,1792,1536,1280,502
327,2010-11-26 00:00:00,1152,1038,3184,1215,1216,433
328,2010-11-27 00:00:00,256,0,768,750,752,0
329,2010-11-28 00:00:00,0,0,0,0,0,0
330,2010-11-29 00:00:00,1232,0,2560,1472,688,1906
331,2010-11-30 00:00:00,0,0,2864,640,1264,425
332,2010-12-01 00:00:00,1008,646,1968,1056,1280,425
333,2010-12-02 00:00:00,512,0,2272,1088,1024,758
334,2010-12-03 00:00:00,1152,288,2752,1216,1264,757
335,2010-12-04 00:00:00,448,1156,512,976,0,1054
336,2010-12-05 00:00:00,0,0,0,0,0,0
337,2010-12-06 00:00:00,384,160,2816,1184,768,819
338,2010-12-07 00:00:00,1024,288,2048,1520,768,0
339,2010-12-08 00:00:00,1024,0,2560,1568,1024,1168
340,2010-12-09 00:00:00,1280,290,1792,1460,1280,502
341,2010-12-10 00:00:00,0,1068,1536,736,768,200
342,2010-12-11 00:00:00,736,2514,256,1600,0,758
343,2010-12-12 00:00:00,0,0,0,0,0,0
344,2010-12-13 00:00:00,1280,764,2560,1376,1024,425
345,2010-12-14 00:00:00,1536,288,1792,352,1280,0
346,2010-12-15 00:00:00,704,0,2304,992,768,0
347,2010-12-16 00:00:00,1280,0,1536,1308,1236,685
348,2010-12-17 00:00:00,1008,594,3056,1248,1280,512
349,2010-12-18 00:00:00,256,562,512,960,0,352
350,2010-12-19 00:00:00,0,0,0,0,0,0
351,2010-12-20 00:00:00,1280,0,3072,1472,768,766
352,2010-12-21 00:00:00,512,0,1536,1520,1536,502
353,2010-12-22 00:00:00,512,0,2816,1340,768,518
354,2010-12-23 00:00:00,946,256,2032,1376,1024,522
355,2010-12-24 00:00:00,576,730,2560,896,1012,1078
356,2010-12-25 00:00:00,0,0,256,192,0,0
357,2010-12-26 00:00:00,0,0,0,0,0,0
358,2010-12-27 00:00:00,1280,0,2752,1824,1024,714
359,2010-12-28 00:00:00,768,0,2560,1344,1024,749
360,2010-12-29 00:00:00,256,0,2228,1056,1024,685
361,2010-12-30 00:00:00,0,902,3072,1472,768,867
362,2010-12-31 00:00:00,0,832,1024,192,0,1050
